rating,year,img,name,link,location,type,lat,lng
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6ace3d21778748dbbece8b6c80456f08?width=500&amp;sharp=1,Umu,https://guide.michelin.com//en/greater-london/london/restaurant/umu,London,Japanese,51.5113444,-0.1444006
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/fe333f82fce2481983adc9ab37d256f0?width=500&amp;sharp=1,Kitchen Table,https://guide.michelin.com//en/greater-london/london/restaurant/kitchen-table-at-bubbledogs,London,Modern Cuisine,51.5203616,-0.13647
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/945fd6fc6e904473bd7a964ace03de01?width=500&amp;sharp=1,Frog by Adam Handling,https://guide.michelin.com//en/greater-london/london/restaurant/frog-by-adam-handling,London,Modern Cuisine,51.5106776,-0.1218804
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b46458f65ed247ad94f18aa2869d8187?width=500&amp;sharp=1,Hakkasan Hanway Place,https://guide.michelin.com//en/greater-london/london/restaurant/hakkasan-hanway-place,London,Chinese,51.5172066,-0.1316651
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7781fbeac678400bacddd229de0fe607?width=500&amp;sharp=1,Trishna,https://guide.michelin.com//en/greater-london/london/restaurant/trishna,London,Indian,51.5183427,-0.1529346
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2802336ac55447a7a17228d99dc208f4?width=500&amp;sharp=1,Trinity,https://guide.michelin.com//en/greater-london/london/restaurant/trinity,London,Modern Cuisine,51.4635167,-0.14151
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ea9b5799c09949cb900d48a4825d7885?width=500&amp;sharp=1,Five Fields,https://guide.michelin.com//en/greater-london/london/restaurant/five-fields,London,Modern Cuisine,51.4917208,-0.1612878
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/28f935589cb441b0bd09449d203c25c1?width=500&amp;sharp=1,A. Wong,https://guide.michelin.com//en/greater-london/london/restaurant/a-wong,London,Chinese,51.4930091,-0.1406558
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4e09945c6921497cbd55a8ab3f821953?width=500&amp;sharp=1,Sabor,https://guide.michelin.com//en/greater-london/london/restaurant/sabor,London,Spanish,51.5114463,-0.1394943
3,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3c7d6b52fd0b442f9f49b3d16b21e5df?width=500&amp;sharp=1,Alain Ducasse at The Dorchester,https://guide.michelin.com//en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,London,French,51.5073381,-0.152575
